country,handle,contribution,contest_count,organization,rating,max_rating,friends_count,rank,duration,problem_count,avg_difficulty,avg_difficulty20,median,tag_hashing,tag_shortest paths,tag_implementation,tag_Other,tag_dsu,tag_trees,tag_brute force,tag_greedy,tag_probabilities,tag_strings,tag_binary search,tag_data structures,tag_divide and conquer,tag_two pointers,tag_sortings,tag_combinatorics,tag_string suffix structures,tag_ternary search,tag_geometry,tag_constructive algorithms,tag_math,tag_dp,tag_graphs,tag_number theory,tag_matrices,tag_graph matchings,tag_games,tag_dfs and similar,tag_bitmasks,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,Sumeet.Varma,1,46,DA-IICT,2500,2515,1657,grandmaster,1417,662,1742.1450151057402,2397.7272727272725,1700,15,17,216,22,33,46,97,159,18,34,66,110,9,24,68,41,5,7,18,79,143,155,74,42,4,2,13,84,17,24,42,75,89,106,113,82,63,45,13,10,0,0
India,akshay_miterani,1,72,DA-IICT,2052,2052,390,candidate master,1292,590,1314.5762711864406,1900.0,1200,5,3,320,13,13,19,105,134,5,41,38,38,4,19,70,19,0,1,12,75,138,66,19,24,0,2,8,35,11,99,128,117,96,79,34,15,14,4,3,1,0,0
India,kuldeeppatel,0,37,DA-IICT,2030,2030,208,candidate master,1577,200,1353.5,1895.0,1300,2,0,111,5,4,2,34,36,2,10,14,14,1,5,20,9,1,0,8,25,50,21,13,5,1,0,3,14,2,22,40,46,37,26,18,6,4,1,0,0,0,0
India,tanmay273,0,90,DA-IICT,2006,2006,290,candidate master,1540,791,1514.032869785082,2189.8734177215188,1500,13,14,339,17,29,46,135,176,10,56,70,88,12,28,90,32,6,4,18,96,175,142,55,32,6,2,8,78,26,76,116,127,114,128,86,65,49,21,7,1,0,1
India,Hiren.Vaghela,0,32,DA-IICT,1997,1997,170,candidate master,544,604,1630.2980132450332,2255.8333333333335,1600,5,19,174,11,28,56,104,128,11,23,63,100,14,43,52,41,0,3,22,62,161,152,88,51,7,1,6,92,27,36,54,75,92,117,89,70,34,24,11,2,0,0
India,lord_bendtner,0,25,DA-IICT,1994,2056,112,candidate master,580,116,1462.0689655172414,2082.608695652174,1500,0,2,51,3,4,6,27,27,3,7,6,17,2,3,14,6,0,0,2,6,20,18,8,6,0,0,4,11,3,11,23,18,16,17,16,8,4,2,1,0,0,0
India,yashkumar18,0,87,DA-IICT,1991,2032,504,candidate master,1485,739,1538.4303112313937,2276.8707482993195,1500,17,13,332,26,26,38,147,145,14,62,57,95,9,28,76,32,7,2,14,87,148,125,55,35,6,3,12,72,27,74,104,117,108,103,84,59,46,21,15,6,0,2
India,Learner99,26,23,DA-IICT,1942,1942,123,candidate master,348,130,1453.8461538461538,2061.5384615384614,1400,0,4,44,1,2,7,16,39,0,11,12,17,3,8,10,0,1,1,3,15,32,16,12,2,0,0,1,15,3,16,17,27,18,22,11,13,4,2,0,0,0,0
India,aayushkapadia,0,35,DA-IICT,1941,1941,145,candidate master,1515,246,1312.1951219512196,1961.2244897959183,1200,2,3,128,7,4,11,55,47,3,30,10,21,0,6,22,8,0,0,4,30,58,29,16,13,2,2,5,20,2,51,54,41,38,20,21,11,7,2,1,0,0,0
India,tarang1610,0,74,DA-IICT,1928,1928,103,candidate master,1970,193,1278.7564766839378,1776.3157894736842,1200,1,1,129,1,2,4,46,54,1,12,10,7,1,8,22,5,0,0,4,23,44,16,8,5,0,1,1,8,4,29,43,53,30,21,11,5,0,0,1,0,0,0
India,Legend_Goku,5,7,DA-IICT,1924,1924,92,candidate master,277,27,1307.4074074074074,1780.0,1300,0,0,9,0,2,3,5,5,1,0,3,3,0,2,1,0,0,1,0,5,4,2,1,0,0,0,2,3,0,5,3,7,3,6,3,0,0,0,0,0,0,0
India,Rutvik_Kothari,0,47,DA-IICT,1920,1921,170,candidate master,688,256,1298.046875,1782.3529411764705,1300,0,3,130,2,1,3,49,66,2,14,17,16,0,10,15,7,0,0,7,36,64,15,13,10,0,0,3,10,3,45,48,62,28,51,15,4,3,0,0,0,0,0
India,Beerus_Sama,0,16,DA-IICT,1909,1909,65,candidate master,728,58,1370.6896551724137,2072.7272727272725,1300,0,2,27,1,1,4,11,11,1,4,5,3,0,2,4,3,0,0,0,6,17,11,6,4,1,0,3,4,1,11,9,13,7,7,4,3,3,1,0,0,0,0
India,MoHib85,0,43,DA-IICT,1894,2048,345,expert,1161,472,1552.7542372881355,2187.2340425531916,1600,11,12,166,16,18,32,69,95,8,35,36,41,6,20,37,20,2,2,10,43,96,108,50,19,0,2,6,68,13,35,68,60,72,82,55,57,25,14,3,1,0,0
India,Hardik.decoder,0,40,DA-IICT,1881,1971,122,expert,842,160,1421.25,2134.375,1300,1,2,79,3,5,15,37,25,1,13,16,21,0,6,16,1,0,1,7,15,33,28,11,6,0,0,4,18,5,22,33,31,16,19,12,15,7,2,3,0,0,0
India,RP_9,12,58,DA-IICT,1860,1968,149,expert,1140,556,1636.6906474820144,2309.009009009009,1600,11,7,203,13,22,59,94,119,7,34,75,113,12,26,66,19,3,7,17,69,129,122,37,36,4,1,17,56,32,51,55,75,65,67,77,78,45,32,8,3,0,0
India,samarthkothari,0,31,DA-IICT,1849,1849,89,expert,1460,303,1118.1518151815183,1505.0,1100,0,1,200,1,1,2,50,52,0,24,16,12,0,3,38,7,0,0,6,34,79,8,4,11,0,1,4,3,5,79,107,69,24,21,3,0,0,0,0,0,0,0
India,ronakvaghela45,0,19,DA-IICT,1848,1848,90,expert,1208,116,1486.2068965517242,2269.5652173913045,1400,0,1,51,3,3,8,17,25,1,3,16,8,1,5,10,5,0,1,5,13,26,23,7,6,1,0,2,10,3,12,17,25,15,20,3,11,5,6,1,1,0,0
India,HardikDobariya,8,48,DA-IICT,1845,1962,135,expert,385,191,1426.1780104712043,2136.842105263158,1300,0,1,95,2,5,9,37,47,1,9,15,22,3,9,17,4,1,2,8,21,51,19,10,14,1,0,2,9,11,29,26,41,24,30,14,14,5,4,1,3,0,0
India,kunal_khatri,5,14,DA-IICT,1811,1811,32,expert,681,155,1543.225806451613,2009.6774193548388,1600,4,5,60,1,2,10,32,43,3,8,15,18,1,4,17,4,0,0,3,20,39,40,8,10,0,0,3,18,6,9,21,15,21,42,27,17,3,0,0,0,0,0
India,kunalk,1,52,DA-IICT,1808,1808,129,expert,1040,475,1460.2105263157894,1995.7894736842106,1500,7,4,210,9,14,20,89,120,6,35,56,60,1,23,50,15,0,2,12,52,116,77,24,30,3,1,10,42,9,49,63,77,76,101,59,34,11,4,1,0,0,0
India,RAMBO_tejasv,7,59,DA-IICT,1794,1961,132,expert,1374,665,1270.375939849624,1790.2255639097743,1200,7,6,361,16,9,15,117,134,4,49,43,42,0,22,75,17,1,0,13,68,155,66,22,34,1,2,6,28,9,113,160,151,96,83,38,19,3,0,2,0,0,0
India,a_g2009,0,33,DA-IICT,1783,1783,39,expert,1929,103,1420.388349514563,2065.0,1300,1,1,62,2,4,4,25,32,1,5,9,11,0,6,10,6,0,0,5,10,29,15,2,4,1,0,0,6,2,5,22,27,21,8,10,4,4,0,2,0,0,0
India,Maulik_Patel,0,52,DA-IICT,1774,1776,84,expert,1040,626,1508.3067092651756,2076.8,1500,7,13,254,10,23,47,105,124,9,34,78,134,7,37,78,16,2,3,9,65,130,109,41,42,1,0,9,56,24,58,77,98,102,106,86,70,20,7,2,0,0,0
India,aya_cool,9,34,DA-IICT,1769,1854,86,expert,841,236,1582.6271186440679,2278.723404255319,1600,5,2,83,5,5,23,54,51,2,13,33,48,3,11,30,11,0,1,4,28,56,49,18,20,0,0,7,28,9,23,29,36,22,36,32,26,15,12,5,0,0,0
India,PriyamV_181,-29,23,DA-IICT,1764,1764,72,expert,757,83,1284.3373493975903,1718.75,1300,0,0,38,0,1,0,26,14,0,4,23,2,0,9,13,1,0,0,3,11,20,9,3,6,0,0,1,5,3,14,13,21,19,9,7,0,0,0,0,0,0,0
India,dhruval161,0,28,DA-IICT,1763,1827,101,expert,761,146,1475.3424657534247,2041.3793103448277,1500,1,3,51,5,5,8,18,41,5,10,13,17,6,9,11,7,0,0,0,17,39,25,11,7,0,0,3,9,9,14,22,25,19,29,21,9,4,2,1,0,0,0
India,Sabuwala.Mustafa,0,23,DA-IICT,1754,1798,91,expert,1015,81,1332.0987654320988,1943.75,1200,0,1,43,1,0,3,14,9,0,7,5,7,1,2,11,1,0,0,1,18,19,13,3,3,0,0,2,4,0,15,15,15,10,12,8,3,2,1,0,0,0,0
India,AwwwMeraBacha,0,1,DA-IICT,1752,1752,7,expert,1147,4,1250.0,1700.0,1200,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
India,Sagar_Savaliya,0,65,DA-IICT,1740,1740,170,expert,958,412,1425.2427184466019,2075.609756097561,1400,5,4,181,4,10,28,87,77,6,37,42,56,5,11,47,13,1,0,13,50,99,81,23,22,2,0,6,29,16,58,73,72,45,58,47,32,21,6,0,0,0,0
India,U_Square,4,60,DA-IICT,1740,1989,293,expert,1045,573,1579.9301919720767,2247.3684210526317,1600,11,9,197,17,25,44,91,122,13,44,70,110,10,28,69,18,4,1,13,64,132,111,43,38,2,2,11,62,25,50,71,88,57,96,67,75,40,20,6,3,0,0
India,uttam36,0,47,DA-IICT,1738,1764,52,expert,1200,210,1332.857142857143,1897.6190476190477,1300,1,1,100,3,3,12,37,45,3,16,17,19,2,8,21,7,0,0,5,33,53,30,10,13,0,0,2,12,2,33,45,37,35,29,18,7,5,1,0,0,0,0
India,dhrumil140396,0,43,DA-IICT,1733,1905,64,expert,1540,368,1610.8695652173913,2278.082191780822,1600,12,7,123,11,14,29,62,75,10,25,36,48,5,16,40,21,4,2,11,38,79,80,39,16,3,1,5,45,11,23,39,57,53,57,55,36,27,13,5,3,0,0
India,Oreo_85,5,96,DA-IICT,1706,1847,134,expert,676,469,1425.586353944563,2032.258064516129,1400,4,11,208,8,13,24,103,103,3,29,44,54,3,24,40,13,3,2,8,53,88,95,32,21,1,2,9,33,19,63,77,79,64,81,52,34,11,5,3,0,0,0
India,--UMANG--,0,18,DA-IICT,1700,1700,18,expert,520,48,1243.75,1800.0,1200,0,1,25,0,0,3,8,9,0,3,2,3,0,2,9,1,0,0,1,4,7,5,4,1,0,0,1,5,0,9,10,15,6,5,1,1,0,0,1,0,0,0
India,shirishJain,-4,34,DA-IICT,1690,1690,29,expert,841,148,1185.1351351351352,1682.7586206896551,1200,0,0,93,2,2,4,24,34,0,10,5,5,0,3,15,2,0,0,3,17,30,12,5,7,0,0,2,6,3,40,27,38,24,11,5,1,2,0,0,0,0,0
India,akdent,0,5,DA-IICT,1684,1684,4,expert,1104,34,1464.7058823529412,2050.0,1400,0,1,11,0,0,1,4,11,1,2,1,2,0,0,6,1,0,0,1,0,9,8,1,1,0,0,0,1,2,3,4,7,7,5,4,2,2,0,0,0,0,0
India,tapanr97,0,30,DA-IICT,1678,1739,51,expert,1061,147,1331.9727891156463,2000.0,1300,0,0,78,1,2,12,33,31,1,11,15,14,2,0,18,2,0,1,3,21,23,10,9,4,0,0,1,14,2,28,27,36,15,15,11,7,6,2,0,0,0,0
India,Grind,0,23,DA-IICT,1676,1676,20,expert,1677,93,1310.752688172043,1794.4444444444443,1300,3,1,57,2,1,0,22,25,1,11,3,6,0,0,11,4,1,0,1,14,24,8,2,4,1,0,0,3,3,13,17,23,23,8,6,1,1,1,0,0,0,0
India,_Mr_Fab,-1,41,DA-IICT,1671,1888,166,expert,920,613,1638.662316476346,2311.4754098360654,1600,15,10,212,17,26,50,103,138,11,43,76,135,11,36,63,21,4,2,9,69,135,141,50,38,3,1,8,69,24,50,67,80,68,91,68,94,51,32,9,3,0,0
India,kishanradia,0,34,DA-IICT,1671,1671,48,expert,770,462,1080.952380952381,1478.2608695652175,1100,2,3,285,2,2,6,73,97,2,40,18,15,0,10,54,8,0,0,10,43,121,35,12,18,1,2,5,13,5,153,150,95,36,23,4,1,0,0,0,0,0,0
India,Alinus,0,21,DA-IICT,1666,1666,24,expert,1209,183,1165.5737704918033,1627.7777777777778,1100,3,1,99,2,3,3,29,37,0,20,7,7,0,8,20,5,0,0,2,25,52,11,5,11,0,2,3,9,2,45,56,39,22,12,7,2,0,0,0,0,0,0
India,hhvys,0,65,DA-IICT,1664,1836,80,expert,1040,343,1306.1224489795918,1826.4705882352941,1300,2,2,176,3,5,11,62,80,3,28,26,22,2,8,36,1,0,1,8,34,77,22,11,19,0,0,9,18,4,61,65,67,55,54,26,13,2,0,0,0,0,0
India,suparsh14,0,28,DA-IICT,1662,1662,21,expert,1259,85,1320.0,1882.3529411764705,1300,1,0,38,6,0,5,19,18,2,6,7,7,0,2,9,3,0,0,1,8,19,14,5,2,0,0,3,8,2,11,20,18,16,8,6,4,1,1,0,0,0,0
India,Ajudiya_13,0,65,DA-IICT,1659,1750,151,expert,720,585,1308.5470085470085,1819.6581196581196,1300,2,4,298,5,6,11,76,136,0,41,47,43,1,21,78,8,0,0,6,69,152,48,23,38,1,0,6,22,5,88,115,138,94,90,35,14,9,1,1,0,0,0
India,bsrkaditya,0,38,DA-IICT,1651,1843,25,expert,2979,247,1487.0445344129555,2173.469387755102,1500,1,1,115,7,3,11,38,51,6,27,13,9,2,4,19,10,0,0,6,28,63,28,14,14,4,2,3,14,3,26,36,43,36,51,20,13,12,3,4,2,0,1
India,HMK,0,31,DA-IICT,1639,1761,54,expert,1657,162,1340.7407407407406,1890.625,1300,3,1,89,2,4,1,27,29,5,7,13,13,0,7,18,6,2,0,2,9,40,21,5,3,1,0,4,6,5,23,28,36,29,25,12,6,2,1,0,0,0,0
India,hardik,0,13,DA-IICT,1637,1637,33,expert,1963,109,1092.6605504587155,1480.952380952381,1100,1,1,76,2,0,0,21,26,0,16,0,3,0,3,10,0,0,0,2,7,23,8,1,3,0,2,0,1,0,37,33,26,6,4,3,0,0,0,0,0,0,0
India,karan_thakkar,0,63,DA-IICT,1635,1863,110,expert,1457,493,1328.8032454361055,1815.3061224489795,1300,6,5,257,7,10,13,90,109,3,36,42,38,2,22,58,18,0,2,8,48,130,80,26,21,2,2,5,33,7,69,95,101,95,76,42,14,1,0,0,0,0,0
India,amit2112,0,29,DA-IICT,1632,1707,12,expert,899,131,1254.9618320610687,1765.3846153846155,1200,1,2,68,2,1,4,27,21,0,7,10,14,1,6,10,2,0,0,2,22,28,19,8,4,0,0,3,6,2,24,34,23,23,16,7,2,2,0,0,0,0,0
India,shreyansh08,42,55,DA-IICT,1631,1752,56,expert,561,395,1252.1518987341772,1739.240506329114,1200,4,2,209,3,5,8,66,99,0,33,22,23,0,12,39,5,0,0,7,36,104,32,14,18,0,1,6,14,2,75,83,96,62,51,19,8,1,0,0,0,0,0
India,umang._.panchal,1,48,DA-IICT,1626,1649,56,expert,841,388,1182.4742268041236,1625.974025974026,1200,2,3,233,2,4,6,86,86,1,37,24,23,0,15,39,3,0,0,7,43,88,36,14,13,0,2,5,14,6,96,90,99,56,33,10,2,2,0,0,0,0,0
India,het,0,32,DA-IICT,1625,1663,32,expert,988,76,1100.0,1473.3333333333333,1100,0,1,53,0,1,1,16,15,0,7,4,3,0,1,5,0,0,0,2,11,18,2,1,4,0,0,4,0,1,23,21,20,8,4,0,0,0,0,0,0,0,0
India,anandpatel9998,0,51,DA-IICT,1622,1805,51,expert,1577,244,1313.1147540983607,1870.8333333333333,1300,3,2,135,1,1,5,41,44,4,9,9,17,1,9,25,11,0,0,2,32,60,27,9,14,1,1,3,10,8,31,51,69,41,24,14,7,6,0,1,0,0,0
India,shahjay147,0,19,DA-IICT,1620,1625,16,expert,678,59,1179.6610169491526,1681.8181818181818,1200,0,0,36,0,1,3,13,11,1,1,4,4,0,1,4,0,0,0,1,7,16,6,2,4,0,0,0,3,2,15,14,16,6,3,5,0,0,0,0,0,0,0
India,ujaval280498,0,47,DA-IICT,1619,1619,35,expert,842,451,1260.7538802660754,1656.6666666666667,1300,2,4,241,0,5,10,77,106,4,26,36,23,0,16,60,9,1,1,12,59,110,34,17,20,1,2,6,18,5,73,80,126,95,62,11,4,0,0,0,0,0,0
India,Mihir_Gajera1,0,45,DA-IICT,1602,1612,57,expert,840,289,1367.4740484429067,1812.280701754386,1400,2,5,140,0,6,14,50,81,1,20,32,39,3,18,45,4,0,0,5,45,53,51,21,12,0,2,4,21,6,31,41,66,62,58,21,7,3,0,0,0,0,0
