,country,handle,contribution,contest_count,rating,max_rating,friends_count,rank,duration,problem_count,avg_difficulty,avg_difficulty20,median,tag_hashing,tag_shortest paths,tag_implementation,tag_Other,tag_dsu,tag_trees,tag_brute force,tag_greedy,tag_probabilities,tag_strings,tag_binary search,tag_data structures,tag_divide and conquer,tag_two pointers,tag_sortings,tag_combinatorics,tag_string suffix structures,tag_ternary search,tag_geometry,tag_constructive algorithms,tag_math,tag_dp,tag_graphs,tag_number theory,tag_matrices,tag_graph matchings,tag_games,tag_dfs and similar,tag_bitmasks,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12,organization_ABV-IIITM Gwalior,organization_Amrita Vishwa Vidyapeetham,"organization_Army Institute Of Technology (AIT), Pune","organization_BIRLA INSTITUTE OF TECHNOLOGY,  MESRA",organization_BIT Mesra,"organization_BIT Mesra, Ranchi","organization_BIT, Mesra",organization_BITS Pilani,organization_BITS Pilani Goa Campus,organization_BITS Pilani Hyderabad Campus,"organization_BITS Pilani, Pilani campus","organization_BITS, Pilani","organization_Birla Institute of Technology, Mesra","organization_College of Engineering, Guindy",organization_DA-IICT,organization_DAIICT,"organization_DAIICT, Ghandinagar Gujarat",organization_Delhi Technological University,organization_Dwarkadas J. Sanghvi College of Engineering,organization_HBTI Kanpur,organization_Heritage Institute Of Technology,organization_IEM Kolkata,"organization_IIEST, Shibpur",organization_IIIT - Delhi,organization_IIIT - HYDERABAD,organization_IIIT Allahabad,organization_IIIT Bangalore,organization_IIIT Delhi,organization_IIIT Hyderabad,organization_IIT BHU Varanasi,"organization_IIT BHU, Varanasi",organization_IIT Bombay,organization_IIT Delhi,organization_IIT Guwahati,organization_IIT Hyderabad,organization_IIT Indore,organization_IIT Jodhpur,organization_IIT Kanpur,organization_IIT Kharagpur,organization_IIT Mandi,organization_IIT Patna,organization_IIT Roorkee,organization_IIT(ISM) DHANBAD,organization_Indian Institute Of Technology Varanasi,organization_Indian Institute of Technology Bombay,organization_Indian Institute of Technology Delhi,organization_Indian Institute of Technology Kharagpur,organization_Indian Institute of Technology Madras,organization_Indian School of Mines,organization_Jadavpur University,organization_Jalpaiguri Government Engineering College,organization_Jamia Millia Islamia,"organization_Jaypee Institute of Information Technology,Noida",organization_Kamla Nehru Institute Of Technology,organization_LNMIIT,organization_Lovely Professional University,organization_MANIT Bhopal,"organization_MNNIT ,Allahabad","organization_MNNIT, Allahabad",organization_Madras institute of technology,organization_Malaviya National Institute of Technology(MNIT),organization_Microsoft,organization_Motilal Nehru National Institue of Technology,organization_NIT Calicut,organization_NIT Durgapur,organization_NIT Hamirpur,organization_NIT Jalandhar,organization_NIT Jamshedpur,organization_NIT Kurukshetra,organization_NIT Silchar,organization_NIT Trichy,organization_NIT Warangal,"organization_NITK , Surathkal",organization_National Institute of Technology Patna,"organization_Netaji Subhas Institute of Technology, Delhi",organization_Nirma University,organization_Pune Institute of Computer Technology,organization_SRM University,organization_SSN College Of Engineering,organization_SVNIT,organization_Thapar University,organization_University School of Information Technology,"organization_Vellore Institute of Technology,Vellore"
3263,India,priyanshupkm,3,32,1634,1692,103,expert,1125,255,1426.666666666667,2109.803921568628,1400,5,2,110,8,4,15,39,51,0,22,17,31,2,11,19,10,2,1,11,26,68,32,11,20,0,0,2,20,8,31,41,55,37,34,24,13,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,India,nks43,0,10,1433,1515,7,specialist,437,132,1132.5757575757575,1607.6923076923074,1100,1,1,84,0,0,1,28,37,0,18,3,1,0,1,17,2,0,0,2,13,32,8,3,5,0,1,0,4,1,46,34,17,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6239,India,atul008,0,11,1276,1446,3,pupil,1611,34,1238.2352941176468,1683.333333333333,1200,1,0,25,0,0,0,6,6,2,3,1,1,0,1,7,1,0,0,0,2,6,1,0,1,0,0,0,0,0,5,8,11,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,India,Smit,0,60,2293,2293,635,master,2747,343,1695.0437317784256,2325.0,1700,4,7,120,12,8,22,58,93,8,18,34,36,6,17,31,24,3,2,13,44,70,71,25,20,2,3,6,34,19,16,29,37,49,54,49,47,32,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2138,India,sauravgupta97,0,12,1017,1394,7,newbie,440,61,1036.0655737704917,1441.666666666667,1000,1,1,42,0,1,0,14,13,0,11,1,1,0,0,6,0,0,0,1,3,11,1,0,2,0,1,1,1,0,29,14,11,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2624,India,Mohit_001,0,35,1518,1556,8,specialist,635,210,1248.095238095238,1619.047619047619,1300,2,2,117,0,1,2,45,55,2,19,17,7,0,11,31,5,0,1,5,24,46,23,6,13,1,2,1,10,5,33,36,64,48,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6070,India,arunlakshman,0,20,1034,1564,3,newbie,2152,30,1126.6666666666667,1483.333333333333,1100,0,0,20,1,0,0,8,9,0,0,2,0,0,3,4,0,0,0,0,0,8,2,0,0,0,0,0,0,0,7,10,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4972,India,trump5377,0,34,1498,1547,50,specialist,811,197,1236.0406091370558,1730.7692307692307,1200,0,2,110,1,4,4,36,44,1,18,13,11,0,8,22,2,0,0,3,13,39,16,6,4,0,1,4,8,2,40,44,47,34,17,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138,India,atul94,0,32,1560,1599,3,specialist,1393,120,1085.8333333333333,1541.666666666667,1000,0,1,83,0,0,0,24,19,0,16,2,2,0,3,8,2,0,0,3,14,27,3,1,4,0,1,0,2,0,42,39,16,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5272,India,Saiphani724,0,69,1477,1549,21,specialist,467,247,1133.1983805668015,1534.6938775510205,1100,0,1,142,0,2,3,44,56,1,25,9,6,0,6,26,2,0,0,5,25,64,13,5,6,0,1,3,7,4,70,61,69,30,13,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
