country,handle,contribution,contest_count,organization,problem_count,avg_difficulty,avg_difficulty20,median,dp,hashing,Other,combinatorics,ternary search,probabilities,bitmasks,binary search,graph matchings,geometry,dfs and similar,games,brute force,shortest paths,divide and conquer,strings,math,graphs,string suffix structures,data structures,implementation,trees,sortings,two pointers,matrices,dsu,constructive algorithms,greedy,number theory,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,Sumeet.Varma,1,46,DA-IICT,662,1742.1450151057402,2397.7272727272725,1700,155,15,22,41,7,18,17,66,2,18,84,13,97,17,9,34,143,74,5,110,216,46,68,24,4,33,79,159,42,24,42,75,89,106,113,82,63,45,13,10,0,0
India,akshay_miterani,1,72,DA-IICT,590,1314.5762711864406,1900.0,1200,66,5,13,19,1,5,11,38,2,12,35,8,105,3,4,41,138,19,0,38,320,19,70,19,0,13,75,134,24,99,128,117,96,79,34,15,14,4,3,1,0,0
India,kuldeeppatel,0,37,DA-IICT,200,1353.5,1895.0,1300,21,2,5,9,0,2,2,14,0,8,14,3,34,0,1,10,50,13,1,14,111,2,20,5,1,4,25,36,5,22,40,46,37,26,18,6,4,1,0,0,0,0
India,tanmay273,0,90,DA-IICT,791,1514.032869785082,2189.8734177215188,1500,142,13,17,32,4,10,26,70,2,18,78,8,135,14,12,56,175,55,6,88,339,46,90,28,6,29,96,176,32,76,116,127,114,128,86,65,49,21,7,1,0,1
India,Hiren.Vaghela,0,32,DA-IICT,604,1630.2980132450332,2255.8333333333335,1600,152,5,11,41,3,11,27,63,1,22,92,6,104,19,14,23,161,88,0,100,174,56,52,43,7,28,62,128,51,36,54,75,92,117,89,70,34,24,11,2,0,0
India,lord_bendtner,0,25,DA-IICT,116,1462.0689655172414,2082.608695652174,1500,18,0,3,6,0,3,3,6,0,2,11,4,27,2,2,7,20,8,0,17,51,6,14,3,0,4,6,27,6,11,23,18,16,17,16,8,4,2,1,0,0,0
India,yashkumar18,0,87,DA-IICT,739,1538.4303112313937,2276.8707482993195,1500,125,17,26,32,2,14,27,57,3,14,72,12,147,13,9,62,148,55,7,95,332,38,76,28,6,26,87,145,35,74,104,117,108,103,84,59,46,21,15,6,0,2
India,aayushkapadia,0,35,DA-IICT,246,1312.1951219512196,1961.2244897959183,1200,29,2,7,8,0,3,2,10,2,4,20,5,55,3,0,30,58,16,0,21,128,11,22,6,2,4,30,47,13,51,54,41,38,20,21,11,7,2,1,0,0,0
India,tarang1610,0,74,DA-IICT,193,1278.7564766839378,1776.3157894736842,1200,16,1,1,5,0,1,4,10,1,4,8,1,46,1,1,12,44,8,0,7,129,4,22,8,0,2,23,54,5,29,43,53,30,21,11,5,0,0,1,0,0,0
India,Legend_Goku,5,7,DA-IICT,27,1307.4074074074074,1780.0,1300,2,0,0,0,1,1,0,3,0,0,3,2,5,0,0,0,4,1,0,3,9,3,1,2,0,2,5,5,0,5,3,7,3,6,3,0,0,0,0,0,0,0
India,Rutvik_Kothari,0,47,DA-IICT,256,1298.046875,1782.3529411764705,1300,15,0,2,7,0,2,3,17,0,7,10,3,49,3,0,14,64,13,0,16,130,3,15,10,0,1,36,66,10,45,48,62,28,51,15,4,3,0,0,0,0,0
